Time,lat,lon,speed,LA,LZ,speed_range,LA_corrected,correction
2024-05-13 12:32:40,43.2732133333,-2.00961,13.921,70.61244997544829,85.65059336674908,"(10.37, 20.738]",74.9014525617075,-7.087049168933547
2024-05-13 12:32:41,43.2732326667,-2.009585,10.04,68.50543805433401,81.59952121728216,"(-0.0385, 10.37]",74.62009804854233,-7.368403682098716
2024-05-13 12:32:42,43.2732535,-2.0095768333,8.272,65.34299038165484,80.85263974503596,"(-0.0385, 10.37]",72.53968269927742,-9.448819031363627
2024-05-13 12:32:44,43.2732748333,-2.0096036667,6.988,63.68823434975299,81.68193755491372,"(-0.0385, 10.37]",71.82720103620035,-10.161300694440698
2024-05-13 12:32:45,43.2732775,-2.0096208333,5.078,63.927241398104606,80.034472261327,"(-0.0385, 10.37]",73.84972132710428,-8.13878040353677
2024-05-13 12:32:46,43.2732756667,-2.0096395,5.294,65.88355936734077,78.58016994343782,"(-0.0385, 10.37]",75.57334118304155,-6.415160547599498
2024-05-13 12:32:47,43.273265,-2.0096556667,6.63,69.30199971693781,82.82750597852241,"(-0.0385, 10.37]",77.73473718388831,-4.253764546752734
2024-05-13 12:32:48,43.2732425,-2.009666,9.84,73.20167208191233,85.85113059333236,"(-0.0385, 10.37]",79.42873227812244,-2.5597694525186085
2024-05-13 12:32:49,43.2732103333,-2.0096828333,13.542,75.11492207888632,88.14682721689321,"(10.37, 20.738]",79.55811516971228,-2.430386560928767
2024-05-13 12:32:51,43.2731758333,-2.0097108333,19.996,80.98045627823028,92.7207722963046,"(10.37, 20.738]",83.24654288724197,1.2580411566009246
2024-05-13 12:32:52,43.2730841667,-2.009791,24.06,82.09776084852854,93.0275269034096,"(20.738, 31.106]",83.33031556445056,1.3418138338095105
2024-05-13 12:32:53,43.2730285,-2.0098446667,26.851,81.86750720324787,92.93217825037641,"(20.738, 31.106]",82.48697412406979,0.4984723934287416
2024-05-13 12:32:54,43.2729733333,-2.0098998333,27.033,81.67532487072661,91.31018289316128,"(20.738, 31.106]",82.25705612411714,0.26855439347609433
2024-05-13 12:32:55,43.2729156667,-2.0099531667,27.181,82.09560170309032,93.94454311223006,"(20.738, 31.106]",82.6468336357843,0.6583319051432568
2024-05-13 12:32:57,43.2728581667,-2.0100001667,21.541,81.3318838162424,94.53966287010915,"(20.738, 31.106]",83.18222011043238,1.1937183797913349
2024-05-13 12:32:58,43.2727546667,-2.0099786667,22.936,80.63213228241136,93.83174812656142,"(20.738, 31.106]",82.1319427550015,0.14344102436045603
2024-05-13 12:32:59,43.2727166667,-2.0099168333,24.751,81.4570100174758,92.4611664080682,"(20.738, 31.106]",82.53139325249292,0.5428915218518711
2024-05-13 12:33:00,43.2726831667,-2.0098428333,25.645,82.89463863386328,93.47003597727712,"(20.738, 31.106]",83.7708117429289,1.7823100122878515
2024-05-13 12:33:01,43.27265,-2.0097628333,27.632,83.07856674380201,94.38265172299948,"(20.738, 31.106]",83.53787199257363,1.5493702619325802
2024-05-13 12:33:03,43.2726195,-2.0096796667,26.148,79.76938506494949,89.16196244438026,"(20.738, 31.106]",80.53705326280881,-1.4514484678322361
2024-05-13 12:33:04,43.2725645,-2.0095311667,23.883,77.84949671083314,89.07833198085335,"(20.738, 31.106]",79.12329809342579,-2.8652036372152594
2024-05-13 12:33:05,43.2725396667,-2.0094653333,21.274,76.03420213717983,87.3487095364846,"(20.738, 31.106]",77.95421067025671,-4.034291060384334
2024-05-13 12:33:06,43.2725196667,-2.0094053333,18.823,74.47167625892583,88.70829182826304,"(10.37, 20.738]",77.07545794230872,-4.913043788332331
2024-05-13 12:33:07,43.2725013333,-2.0093546667,15.884,73.6241626388733,87.26981661323912,"(10.37, 20.738]",77.1762812177286,-4.812220512912447
2024-05-13 12:33:09,43.272485,-2.0093146667,13.099,78.30519459477647,90.5521768709813,"(10.37, 20.738]",82.93418184639586,0.9456801157548114
2024-05-13 12:33:10,43.2724161667,-2.0092873333,16.536,78.0898268493217,94.25556640727464,"(10.37, 20.738]",81.41723047638008,-0.5712712542609637
2024-05-13 12:33:11,43.272374,-2.0093018333,17.993,78.88743255649442,92.36625789682833,"(10.37, 20.738]",81.74312917072967,-0.24537255991137386
2024-05-13 12:33:12,43.2723276667,-2.0093268333,20.281,82.05036745995758,94.3370191139398,"(10.37, 20.738]",84.23739825452262,2.2488965238815695
2024-05-13 12:33:13,43.2722703333,-2.0093591667,25.073,83.32144089151653,94.21267518757377,"(20.738, 31.106]",84.32361997798402,2.335118247342976
2024-05-13 12:33:14,43.2722056667,-2.0093991667,28.488,83.17363183135677,94.12677963417278,"(20.738, 31.106]",83.46251392173492,1.4740121910938768
2024-05-13 12:33:16,43.2720743333,-2.0094818333,28.32,82.59457989107104,91.27552255285926,"(20.738, 31.106]",82.91650196876228,0.9280002381212284
2024-05-13 12:33:17,43.2720075,-2.0095233333,28.63,82.64907548212639,91.9289133573383,"(20.738, 31.106]",82.91018250835161,0.9216807777105629
2024-05-13 12:33:18,43.2719421667,-2.0095626667,28.243,82.21049146113714,90.1897614494292,"(20.738, 31.106]",82.54762242402147,0.5591206933804216
2024-05-13 12:33:19,43.2718761667,-2.0096023333,28.624,82.61358203537674,92.75030657079277,"(20.738, 31.106]",82.87585986572194,0.8873581350808877
2024-05-13 12:33:20,43.27181,-2.009642,29.112,83.09245984124058,92.85124792469605,"(20.738, 31.106]",83.26030499577865,1.2718032651376063
2024-05-13 12:33:21,43.2717423333,-2.0096813333,29.212,83.74474817375473,93.8065053582656,"(20.738, 31.106]",83.89343789641636,1.904936165775311
2024-05-13 12:33:23,43.271609,-2.0097605,29.131,83.46553243244989,93.15467456006026,"(20.738, 31.106]",83.62973299678505,1.641231266144004
2024-05-13 12:33:24,43.2715438333,-2.0098006667,28.617,82.85416593994618,92.62990703628888,"(20.738, 31.106]",83.11781001865128,1.129308288010236
2024-05-13 12:33:25,43.2714781667,-2.0098416667,28.557,83.42533059394896,93.34487084060568,"(20.738, 31.106]",83.70069910044417,1.7121973698031212
2024-05-13 12:33:26,43.2714121667,-2.009884,28.967,84.01032493338091,95.12747324176841,"(20.738, 31.106]",84.20606266218951,2.217560931548462
2024-05-13 12:33:27,43.271348,-2.0099285,28.962,83.8236832370297,95.76514294455296,"(20.738, 31.106]",84.02038526723894,2.0318835365978885
2024-05-13 12:33:28,43.2712838333,-2.0099781667,29.283,83.76694993545713,96.13837605522976,"(20.738, 31.106]",83.90207906640195,1.9135773357609054
2024-05-13 12:33:30,43.2712251667,-2.01003,27.597,83.13565974812713,93.85133145920878,"(20.738, 31.106]",83.60204510268089,1.6135433720398424
2024-05-13 12:33:31,43.2711213333,-2.0101436667,27.054,84.01255566973975,99.77442625469916,"(20.738, 31.106]",84.5899491658554,2.6014474352143537
2024-05-13 12:33:32,43.271069,-2.0102116667,29.032,84.77434352633664,97.58058486311448,"(20.738, 31.106]",84.95756046154321,2.9690587309021623
2024-05-13 12:33:33,43.271023,-2.0102886667,29.698,84.01372137598436,92.35771192532383,"(20.738, 31.106]",84.07023975399613,2.0817380233550864
2024-05-13 12:33:34,43.2709893333,-2.0103701667,28.66,84.06514769630559,93.89432341342524,"(20.738, 31.106]",84.32040437997833,2.3319026493372803
2024-05-13 12:33:36,43.2709566667,-2.0104583333,27.849,82.83129709499175,93.09379945205514,"(20.738, 31.106]",83.24690485373932,1.258403123098276
2024-05-13 12:33:37,43.2708858333,-2.010616,27.372,83.08828141486708,92.70523722462201,"(20.738, 31.106]",83.60039726743608,1.611895536795032
2024-05-13 12:33:38,43.270852,-2.0106978333,27.854,81.80214091795301,90.60286288317633,"(20.738, 31.106]",82.21674583994405,0.22824410930300587
2024-05-13 12:33:39,43.2708158333,-2.0107813333,28.807,82.2936065856278,90.84518566048429,"(20.738, 31.106]",82.52028482526075,0.5317830946196977
2024-05-13 12:33:40,43.2707843333,-2.0108635,27.647,82.26999769809586,90.662936562851,"(20.738, 31.106]",82.72627136070977,0.7377696300687262
2024-05-13 12:33:42,43.270751,-2.0109488333,28.502,82.10850308213071,93.9841404915071,"(20.738, 31.106]",82.3946406410629,0.4061389104218591
2024-05-13 12:33:43,43.2706858333,-2.0111133333,27.572,80.78993467867475,91.4995603564742,"(20.738, 31.106]",81.26138275137849,-0.7271189792625563
2024-05-13 12:33:44,43.270658,-2.0111861667,23.432,78.85270477740265,90.06033572319913,"(20.738, 31.106]",80.2330012719607,-1.7555004586803449
2024-05-13 12:33:45,43.2706275,-2.0112463333,20.53,78.77458306261818,98.41805336819002,"(10.37, 20.738]",80.89344809055568,-1.0950536400853679
2024-05-13 12:33:46,43.270602,-2.0113065,20.096,81.00777605711744,97.42635832770071,"(10.37, 20.738]",83.245996193245,1.2574944626039581
2024-05-13 12:33:48,43.270582,-2.011369,20.599,79.5270421567263,89.54726724679006,"(10.37, 20.738]",81.62716413864102,-0.3613375920000266
2024-05-13 12:33:49,43.2705723333,-2.011513,21.356,79.76185250646526,90.70722480456745,"(20.738, 31.106]",81.6603709671203,-0.3281307635207469
2024-05-13 12:33:50,43.2705846667,-2.0115838333,20.833,79.71706919142615,89.15003736209776,"(20.738, 31.106]",81.7540920390492,-0.23440969159184988
2024-05-13 12:33:51,43.2705966667,-2.0116268333,14.173,77.97421109312167,88.7909846400756,"(10.37, 20.738]",82.1629975939984,0.17449586335735034
2024-05-13 12:33:52,43.2706153333,-2.0116621667,13.266,75.38271494370552,92.57444214593062,"(10.37, 20.738]",79.9409347810518,-2.0475669495892532
2024-05-13 12:33:53,43.270638,-2.0116998333,13.915,72.8680159081238,88.31967627818338,"(10.37, 20.738]",77.15942664281948,-4.829075087821565
2024-05-13 12:33:54,43.2706646667,-2.0117315,14.182,76.34975513841535,94.38482541657159,"(10.37, 20.738]",80.53499553343295,-1.4535061972080996
2024-05-13 12:33:56,43.2707366667,-2.0117988333,18.027,78.33804931178418,87.67206823493241,"(10.37, 20.738]",81.18320025640334,-0.8053014742377087
2024-05-13 12:33:57,43.2707726667,-2.0118073333,15.308,80.00310514577191,96.1596490542012,"(10.37, 20.738]",83.76155613780162,1.773054407160572
2024-05-13 12:33:58,43.2708053333,-2.011797,14.762,77.19008273091931,93.16792264976846,"(10.37, 20.738]",81.15141677711418,-0.837084953526869
2024-05-13 12:33:59,43.2708295,-2.0117603333,16.01,78.3940395654838,90.76424419164172,"(10.37, 20.738]",81.90202116186374,-0.08648056877730426
2024-05-13 12:34:00,43.270857,-2.011707,19.722,81.11562998694538,92.30011940259013,"(10.37, 20.738]",83.45879077450299,1.4702890438619391
2024-05-13 12:34:01,43.2708881667,-2.0116431667,23.776,83.17448461088162,94.79924173564363,"(20.738, 31.106]",84.47336893152391,2.48486720088286
2024-05-13 12:34:03,43.2709241667,-2.0115703333,27.657,83.53999727837815,94.10878214668944,"(20.738, 31.106]",83.99425079719386,2.0057490665528093
2024-05-13 12:34:04,43.271006,-2.0114258333,27.703,83.93688935934733,93.79234624491728,"(20.738, 31.106]",84.381859614747,2.393357884105953
2024-05-13 12:34:05,43.2710478333,-2.0113555,27.086,82.86016013839867,93.78537079007319,"(20.738, 31.106]",83.43095018896372,1.4424484583226729
2024-05-13 12:34:06,43.2710918333,-2.0112911667,25.929,81.78940051291873,91.64452237996196,"(20.738, 31.106]",82.60405158058369,0.6155498499426386
2024-05-13 12:34:07,43.2711406667,-2.0112308333,26.277,82.55549968286017,92.78586653940917,"(20.738, 31.106]",83.29567685327402,1.3071751226329695
2024-05-13 12:34:09,43.2711871667,-2.0111698333,25.768,81.79936930694001,93.47723525423973,"(20.738, 31.106]",82.64881408644035,0.6603123557993058
2024-05-13 12:34:10,43.2712785,-2.0110541667,25.199,79.00928090023154,89.6465147874782,"(20.738, 31.106]",79.98345830498171,-2.0050434256593377
2024-05-13 12:34:11,43.2713193333,-2.0110028333,22.178,76.99673822421333,88.41941129250432,"(20.738, 31.106]",78.68428037682823,-3.304221353812821
2024-05-13 12:34:12,43.2713578333,-2.010958,18.89,79.18220934848912,95.96611891611091,"(10.37, 20.738]",81.76614274619094,-0.2223589844501106
2024-05-13 12:34:13,43.271391,-2.0109225,14.619,76.44122822384617,95.30651367044216,"(10.37, 20.738]",80.45693882850864,-1.531562902132407
2024-05-13 12:34:15,43.2714176667,-2.0108948333,8.89,65.38345294723949,78.80875199927992,"(-0.0385, 10.37]",72.17766255906334,-9.810839171577712
2024-05-13 12:34:16,43.271449,-2.0108625,6.139,62.69941449521073,78.08911666211273,"(-0.0385, 10.37]",71.56196304988053,-10.426538680760515
2024-05-13 12:34:17,43.2714608333,-2.0108581667,4.769,63.71972290175173,78.51393042343793,"(-0.0385, 10.37]",73.99290300179456,-7.995598728846488
2024-05-13 12:34:18,43.2714726667,-2.0108663333,5.003,63.66456923765165,81.90032139928218,"(-0.0385, 10.37]",73.67016896582386,-8.318332764817185
2024-05-13 12:34:19,43.2714811667,-2.0108801667,5.572,62.170395307193985,76.44578002114355,"(-0.0385, 10.37]",71.5742807120486,-10.414221018592443
2024-05-13 12:34:21,43.2714838333,-2.010887,1.931,57.53935899937651,66.01787242029643,"(-0.0385, 10.37]",72.86292590863589,-9.12557582200516
2024-05-13 12:34:22,43.2714805,-2.0108815,1.596,60.72176553525083,73.6667562044896,"(-0.0385, 10.37]",77.10969429707717,-4.878807433563878
2024-05-13 12:34:23,43.2714758333,-2.010871,3.602,61.658746881332824,76.8680876920876,"(-0.0385, 10.37]",73.4996518215689,-8.488849909072144
2024-05-13 12:34:24,43.2714716667,-2.0108576667,3.724,61.34167467275671,72.82831813652622,"(-0.0385, 10.37]",72.9965115264634,-8.991990204177654
2024-05-13 12:34:25,43.271473,-2.0108481667,2.811,61.27316698223885,73.21797192177283,"(-0.0385, 10.37]",74.49913996831339,-7.489361762327661
2024-05-13 12:34:26,43.2714738333,-2.0108463333,0.676,56.6878675144094,72.70025334760243,"(-0.0385, 10.37]",77.87460778437325,-4.113893946267794
2024-05-13 12:34:28,43.2714698333,-2.0108603333,4.421,65.96419432869102,77.71277749213895,"(-0.0385, 10.37]",76.66063739166262,-5.327864338978429
2024-05-13 12:34:29,43.2714581667,-2.0108786667,7.463,69.49089419146435,82.0854730738603,"(-0.0385, 10.37]",77.26250160064734,-4.726000129993707
2024-05-13 12:34:30,43.2714468333,-2.0108981667,7.022,73.22716316834297,86.35567318541027,"(-0.0385, 10.37]",81.3390166747416,-0.6494850558994472
2024-05-13 12:34:31,43.2714195,-2.0109241667,13.407,75.07216231844774,89.55114061154013,"(10.37, 20.738]",79.57132260807217,-2.417179122568882
2024-05-13 12:34:32,43.27139,-2.0109576667,15.807,76.01197857571024,88.60541873013892,"(10.37, 20.738]",79.59124244296368,-2.3972592876773717
2024-05-13 12:34:33,43.2713568333,-2.0109915,16.207,75.51224189361952,90.11606523475194,"(10.37, 20.738]",78.95190702817955,-3.0365947024614997
2024-05-13 12:34:35,43.2712815,-2.0110671667,18.236,81.22847644782001,95.50973308273339,"(10.37, 20.738]",84.00923624138095,2.0207345107398993
2024-05-13 12:34:36,43.2712361667,-2.0111103333,21.702,80.27985916538267,90.91839259543343,"(20.738, 31.106]",82.0885995245823,0.10009779394125928
2024-05-13 12:34:37,43.2711918333,-2.0111608333,23.347,80.86307507156863,90.41520103015318,"(20.738, 31.106]",82.26367209226079,0.2751703616197432
2024-05-13 12:34:38,43.271152,-2.011219,24.134,81.47087687732551,91.43268828711841,"(20.738, 31.106]",82.68627709928411,0.6977753686430646
2024-05-13 12:34:39,43.271113,-2.0112815,25.084,82.74873932578967,93.95733286475743,"(20.738, 31.106]",83.74846822112714,1.759966490486093
2024-05-13 12:34:40,43.2710785,-2.0113438333,24.872,82.15918705664514,92.54588308160436,"(20.738, 31.106]",83.20632810035679,1.2178263697157377
2024-05-13 12:34:42,43.271038,-2.0114156667,26.296,80.31673221103577,91.14859602172943,"(20.738, 31.106]",81.05287172202559,-0.9356300086154619
2024-05-13 12:34:43,43.270961,-2.011558,25.456,80.55986574589375,92.81909133941812,"(20.738, 31.106]",81.47736008197445,-0.5111416486665945
2024-05-13 12:34:44,43.2709281667,-2.011627,24.075,78.66118012023252,89.82447036798985,"(20.738, 31.106]",79.89025331434041,-2.0982484163006347
2024-05-13 12:34:45,43.2709015,-2.0116895,20.68,74.43718865511376,88.13320791198751,"(10.37, 20.738]",76.51538787688845,-5.473113853752594
2024-05-13 12:34:46,43.2708811667,-2.0117396667,15.729,71.61500824048657,86.83626118808326,"(10.37, 20.738]",75.22190508661878,-6.766596644022272
2024-05-13 12:34:48,43.2708671667,-2.01178,9.888,65.36714730987994,80.9408614552674,"(-0.0385, 10.37]",71.56702447643998,-10.421477254201065
2024-05-13 12:34:49,43.2708411667,-2.0118323333,5.537,61.817607779774875,76.41190313944992,"(-0.0385, 10.37]",71.25669242882049,-10.731809301820562
2024-05-13 12:34:50,43.2708345,-2.0118438333,2.918,59.81414778117469,72.92448408264251,"(-0.0385, 10.37]",72.83143430121092,-9.157067429430128
2024-05-13 12:34:51,43.270831,-2.011849,0.342,56.52960183911154,73.91160024644353,"(-0.0385, 10.37]",81.52261306258609,-0.46588866805495854
2024-05-13 12:34:52,43.2708301667,-2.0118531667,0.91,58.33338778368193,69.82302931735165,"(-0.0385, 10.37]",77.85965085173315,-4.1288508789078975
2024-05-13 12:34:54,43.2708288333,-2.0118555,0.637,56.66997740558766,74.12690756531832,"(-0.0385, 10.37]",78.18866293793494,-3.7998387927061117
2024-05-13 12:34:55,43.2708256667,-2.0118628333,0.269,56.86390256711078,73.969661500242,"(-0.0385, 10.37]",83.19813318823961,1.2096314575985616
2024-05-13 12:34:56,43.2708228333,-2.0118651667,0.411,60.79350511698323,80.13360930455583,"(-0.0385, 10.37]",84.75988875473749,2.771387024096441
2024-05-13 12:34:57,43.2708161667,-2.0118706667,2.612,65.69031606687386,84.00099963256899,"(-0.0385, 10.37]",79.32644342435822,-2.6620583062828302
2024-05-13 12:34:58,43.270805,-2.0118868333,6.876,70.93893158981295,89.16086682364823,"(-0.0385, 10.37]",79.16815462169711,-2.8203471089439347
2024-05-13 12:35:00,43.2707825,-2.0118985,8.975,79.41980926280246,91.7554197268853,"(-0.0385, 10.37]",86.16086217533453,4.172360444693481
2024-05-13 12:35:01,43.2707188333,-2.0118693333,15.628,80.00282378269686,91.95134796931973,"(10.37, 20.738]",83.64570609999599,1.6572043693549432
2024-05-13 12:35:02,43.2706786667,-2.011841,18.708,79.4435867058239,98.45027882643868,"(10.37, 20.738]",82.08160161992487,0.0930998892838204
2024-05-13 12:35:03,43.270637,-2.0118141667,18.199,81.3923083710442,99.32816193889522,"(10.37, 20.738]",84.18441361975191,2.19591188911086
2024-05-13 12:35:04,43.2705973333,-2.0117823333,18.313,81.833461526926,95.65999752405585,"(10.37, 20.738]",84.5906841261858,2.6021823955447587
2024-05-13 12:35:05,43.270551,-2.0117571667,19.285,82.31979534959385,94.86560418271777,"(10.37, 20.738]",84.7881248772349,2.7996231465938592
2024-05-13 12:35:07,43.2704523333,-2.0117545,19.342,76.61056460814652,89.48672527507225,"(10.37, 20.738]",79.06240784274885,-2.9260938878921934
2024-05-13 12:35:08,43.2704151667,-2.0117735,15.202,72.69304928414972,85.92697934057375,"(10.37, 20.738]",76.49031569072316,-5.498186039917883
2024-05-13 12:35:09,43.2703883333,-2.0117973333,12.513,70.27292831949512,88.14029107788805,"(10.37, 20.738]",75.15757908090323,-6.830922649737815
2024-05-13 12:35:10,43.2703651667,-2.011822,11.583,72.94813083136742,89.18133705230835,"(10.37, 20.738]",78.26419397103362,-3.724307759607427
2024-05-13 12:35:11,43.2703456667,-2.0118546667,13.785,76.00762271607164,95.34999602663915,"(10.37, 20.738]",80.35146655804311,-1.6370351725979333
2024-05-13 12:35:12,43.2703211667,-2.0118975,16.847,79.58015409758245,90.61512920313035,"(10.37, 20.738]",82.80347313965129,0.8149714090102407
2024-05-13 12:35:14,43.2702943333,-2.011951,24.23,84.84012942448372,94.87778878958652,"(20.738, 31.106]",86.03335338083092,4.0448516501898695
2024-05-13 12:35:15,43.2702301667,-2.0120968333,27.492,85.21434207256482,94.86655140314257,"(20.738, 31.106]",85.7020217463155,3.7135200156744474
2024-05-13 12:35:16,43.2701938333,-2.0121803333,28.1,84.51034215847616,93.8253346135604,"(20.738, 31.106]",84.87582852450596,2.887326793864915
2024-05-13 12:35:17,43.2701563333,-2.0122633333,28.027,82.77815301589487,93.30527362065054,"(20.738, 31.106]",83.15817020112203,1.1696684704809854
2024-05-13 12:35:18,43.270124,-2.0123426667,26.047,81.60544189595234,93.85841571544213,"(20.738, 31.106]",82.39472890644745,0.4062271758064071
2024-05-13 12:35:20,43.2700966667,-2.0124128333,18.136,77.87781930315947,97.98302316488345,"(10.37, 20.738]",80.68929566795742,-1.2992060626836235
2024-05-13 12:35:21,43.2700505,-2.0125125,15.858,77.58338260095493,92.27830083545624,"(10.37, 20.738]",81.14465237843038,-0.8438493522106683
2024-05-13 12:35:22,43.2700271667,-2.0125616667,17.505,82.10988896199622,95.85387022924577,"(10.37, 20.738]",85.11918235987446,3.13068062923341
2024-05-13 12:35:23,43.2700016667,-2.0126225,20.813,86.82961112051701,100.79620925090863,"(20.738, 31.106]",88.87199928725775,6.883497556616703
2024-05-13 12:35:24,43.2699698333,-2.012693,24.785,87.03739903808994,100.93343409194313,"(20.738, 31.106]",88.10411401231883,6.115612281677784
