Time,lat,lon,speed,LA,LZ
2024-05-23 17:10:05,43.3160463333,-1.902653,5.683,73.06366457491013,89.8917819920519
2024-05-23 17:10:07,43.3160625,-1.9027021667,5.596,71.61557133874385,89.2788050770907
2024-05-23 17:10:08,43.3160698333,-1.9027203333,4.775,71.99008129102228,88.56871728101764
2024-05-23 17:10:09,43.3160816667,-1.9027428333,5.038,72.47239331500735,86.87247328067313
2024-05-23 17:10:10,43.3160948333,-1.9027723333,5.991,73.86763222015429,86.50239962666923
2024-05-23 17:10:11,43.3161135,-1.9028156667,9.903,74.61306965454293,87.10566172417045
2024-05-23 17:10:12,43.3161408333,-1.902913,11.179,74.69534253211448,87.54399065480806
2024-05-23 17:10:14,43.3161518333,-1.902963,11.506,73.2068008771033,86.6721193996868
2024-05-23 17:10:15,43.3161641667,-1.9030085,11.388,73.5706511867262,93.03204039331071
2024-05-23 17:10:16,43.316171,-1.903062,11.914,75.93579152179511,100.0826663063352
2024-05-23 17:10:17,43.3161741667,-1.9030965,9.57,74.15173354253766,87.81791131793409
2024-05-23 17:10:18,43.3161778333,-1.9031383333,9.618,74.51409637364823,90.22117455827237
2024-05-23 17:10:20,43.3162063333,-1.9032238333,10.861,74.7530289927161,86.88154891788487
2024-05-23 17:10:21,43.316214,-1.9032636667,10.116,75.98057192274324,89.45133136811363
2024-05-23 17:10:22,43.3162206667,-1.9033076667,10.169,76.19739387149727,87.97646347864631
2024-05-23 17:10:23,43.3162181667,-1.9033748333,12.953,75.99050415660555,88.2879558115949
2024-05-23 17:10:24,43.3162376667,-1.903441,14.66,75.26892956953988,86.85435428247746
2024-05-23 17:10:25,43.3162585,-1.9035465,13.362,74.3506528429033,86.56591526311276
2024-05-23 17:10:26,43.3162716667,-1.9035906667,11.993,73.37415790695454,86.28515514097741
2024-05-23 17:10:28,43.3162806667,-1.903634,10.686,70.9959367881023,82.30631288393126
2024-05-23 17:10:29,43.3162783333,-1.9036791667,9.463,70.26877931350448,83.7527166695706
2024-05-23 17:10:30,43.3162903333,-1.9037118333,8.552,69.31512031642451,82.70669498677371
2024-05-23 17:10:31,43.3162906667,-1.9037228333,3.704,69.01074350294081,82.02798674225113
2024-05-23 17:10:32,43.3163121667,-1.903754,2.636,68.22306580113043,83.1145372058897
2024-05-23 17:10:33,43.316324,-1.9037701667,2.91,67.55984838957403,85.16169223174242
2024-05-23 17:10:35,43.3163335,-1.9037686667,0.735,66.79187962486799,81.09972315557727
2024-05-23 17:10:36,43.3163451667,-1.9037485,2.913,68.13823624645109,84.42093818881199
2024-05-23 17:10:37,43.3163635,-1.9037355,5.437,67.59208955424253,83.2682005383972
2024-05-23 17:10:38,43.3163731667,-1.9037333333,5.544,69.48391991052533,84.6894294983515
2024-05-23 17:10:39,43.3163833333,-1.9037251667,10.109,73.39362653198683,87.28965210205047
2024-05-23 17:10:41,43.3164345,-1.9036961667,10.944,72.07440690047834,86.46308611995222
2024-05-23 17:10:42,43.3164548333,-1.9036908333,11.065,70.49800465132462,87.37706252984216
2024-05-23 17:10:43,43.316468,-1.9036853333,9.532,68.45251434454259,88.24533298838922
2024-05-23 17:10:44,43.3164828333,-1.9036935,7.903,68.1020733125102,86.38116111937333
2024-05-23 17:10:45,43.3164926667,-1.9036908333,7.177,67.85043371612022,85.49223254635586
2024-05-23 17:10:47,43.316516,-1.903678,6.742,67.25922423379693,80.30225666183364
2024-05-23 17:10:48,43.3165255,-1.903675,5.412,67.28374706721306,77.38036861955462
2024-05-23 17:10:49,43.3165568333,-1.9036978333,5.335,71.27721417307492,87.45415710750287
2024-05-23 17:10:50,43.3165806667,-1.9037156667,6.769,70.76627205518409,87.3142367780429
2024-05-23 17:10:51,43.3166,-1.903732,7.722,71.5724345970408,88.46894780440874
2024-05-23 17:10:53,43.3166306667,-1.9037856667,9.44,74.02755833343556,87.44979720702409
2024-05-23 17:10:54,43.3166373333,-1.9038198333,9.83,76.3923467388583,88.79397340911659
2024-05-23 17:10:55,43.3166493333,-1.9038635,11.474,77.14604329019464,87.58815079664595
2024-05-23 17:10:56,43.3166575,-1.9039156667,12.963,78.17196194335745,86.64981937639229
2024-05-23 17:10:57,43.3166691667,-1.9039615,12.825,75.84104474062775,85.77608932065756
2024-05-23 17:10:58,43.3166931667,-1.9040475,12.065,71.72854755086205,83.17291955446186
2024-05-23 17:10:59,43.316704,-1.9040903333,12.177,72.5738918670786,91.59859975947974
2024-05-23 17:11:01,43.3167098333,-1.9041326667,11.891,77.85792081804333,93.20227378543296
2024-05-23 17:11:02,43.3167213333,-1.9041911667,13.931,75.47268885331985,87.72068042705796
2024-05-23 17:11:03,43.3167298333,-1.9042443333,14.662,74.5726009869315,89.08987287348427
2024-05-23 17:11:04,43.3167373333,-1.9042938333,14.447,75.6467690769107,90.21464335039727
2024-05-23 17:11:05,43.316753,-1.9044133333,16.045,75.51867377905916,86.35822019879319
2024-05-23 17:11:06,43.3167601667,-1.9044828333,17.187,75.71396257871456,85.24558398211593
2024-05-23 17:11:08,43.3167668333,-1.9045441667,16.763,76.79344319891395,85.21605087769618
2024-05-23 17:11:09,43.316774,-1.9046066667,16.721,77.6293558597377,85.27182167062522
2024-05-23 17:11:10,43.3167835,-1.9046646667,15.927,77.19512859299496,87.3046714036972
2024-05-23 17:11:11,43.3167875,-1.904721,15.267,76.35827669766614,86.74596332794329
2024-05-23 17:11:12,43.316788,-1.9047688333,13.079,77.6268967254463,86.51736451547947
2024-05-23 17:11:14,43.316795,-1.9048781667,13.026,71.5984183570606,85.51647825607114
2024-05-23 17:11:15,43.31679,-1.9049318333,13.349,71.36717066257273,85.29845643490033
2024-05-23 17:11:16,43.3167795,-1.9049706667,11.426,71.00602276814936,85.23200823926263
2024-05-23 17:11:17,43.3167616667,-1.9050021667,10.418,72.12359337799042,86.57788555146006
2024-05-23 17:11:18,43.3167438333,-1.905027,8.527,72.69276785172168,85.90907122956463
2024-05-23 17:11:20,43.3167115,-1.905043,6.807,73.4971895722889,85.44650039732221
2024-05-23 17:11:21,43.316692,-1.905046,7.573,78.48703623401043,93.20251111651315
2024-05-23 17:11:22,43.316671,-1.9050361667,8.493,79.35860197459584,92.09320471035745
2024-05-23 17:11:23,43.3166436667,-1.9050271667,9.798,78.4815107679223,92.11098310797722
2024-05-23 17:11:24,43.3166186667,-1.9050161667,10.332,78.33672980427772,91.06351002167456
2024-05-23 17:11:26,43.3165475,-1.9049908333,13.455,78.92801446580394,91.8476907011784
2024-05-23 17:11:27,43.3165185,-1.9049803333,13.419,78.81913878165973,92.46387785586913
2024-05-23 17:11:28,43.3164846667,-1.9049583333,14.383,78.831510364048,93.4829649853861
2024-05-23 17:11:29,43.3164478333,-1.904946,14.787,78.54060167121622,90.73922165135528
2024-05-23 17:11:30,43.3164151667,-1.9049305,14.662,78.97768823988349,92.19938352352054
2024-05-23 17:11:31,43.3163423333,-1.904904,15.729,76.50831302132521,92.96033875895151
2024-05-23 17:11:32,43.3163101667,-1.9048928333,14.849,77.66885023653073,93.05372133774684
2024-05-23 17:11:34,43.3162831667,-1.9048876667,12.983,78.03288132369813,94.74590838122626
2024-05-23 17:11:35,43.3162541667,-1.9048816667,12.554,79.16813659448347,95.28209491202026
2024-05-23 17:11:36,43.3162265,-1.9048523333,12.867,78.81914026943171,97.17072023668072
2024-05-23 17:11:37,43.316196,-1.9048386667,13.299,80.21613883897233,99.00521426399928
2024-05-23 17:11:38,43.3161318333,-1.9048146667,13.435,79.87384197927929,97.76340786268338
2024-05-23 17:11:39,43.3161013333,-1.9048076667,13.072,79.268947822276,95.68325557853827
2024-05-23 17:11:41,43.3160663333,-1.9047958333,13.798,79.2717694743683,92.37217373431194
2024-05-23 17:11:42,43.3160273333,-1.9047813333,14.452,78.11285132530284,91.58273193618459
2024-05-23 17:11:43,43.3159961667,-1.9047721667,13.067,76.92371027516826,90.24167475879734
2024-05-23 17:11:44,43.3159683333,-1.9047561667,12.235,75.63788294561374,88.88337574635935
2024-05-23 17:11:45,43.3159381667,-1.9047403333,13.007,77.99948877946633,91.95719276984683
2024-05-23 17:11:47,43.3158781667,-1.9046996667,12.578,76.60783079094759,90.73914521466497
2024-05-23 17:11:48,43.3158438333,-1.9046743333,13.812,76.79209001047481,93.03722619606505
2024-05-23 17:11:49,43.3158115,-1.9046516667,13.099,82.24442150755334,99.38339197306831
2024-05-23 17:11:50,43.3157735,-1.904633,13.378,75.4643738132074,91.05532576947168
2024-05-23 17:11:51,43.3157416667,-1.9046153333,12.682,73.26480507466555,87.59468910038849
2024-05-23 17:11:53,43.315678,-1.9045795,12.116,72.18587341617936,86.57347578169626
2024-05-23 17:11:54,43.3156435,-1.9045628333,12.029,72.4843669588714,87.10357565450141
2024-05-23 17:11:55,43.3156115,-1.9045475,9.438,72.7352825340048,88.48485727359324
2024-05-23 17:11:56,43.3155806667,-1.9045438333,9.739,72.41622897469716,88.8468219512935
2024-05-23 17:11:57,43.3155508333,-1.9045355,8.968,71.69688366416523,88.36692139660369
2024-05-23 17:11:59,43.3154961667,-1.904504,8.666,68.06272312947189,82.86270371914728
2024-05-23 17:12:00,43.315468,-1.9045106667,7.439,67.31136204838981,83.171038214721
2024-05-23 17:12:01,43.3154455,-1.9045175,8.009,66.8874698207897,81.74833645909543
2024-05-23 17:12:02,43.3154268333,-1.9045135,5.154,66.16191438230997,80.98203218202133
2024-05-23 17:12:03,43.3154105,-1.9044971667,5.32,65.75225293085681,81.28705874041329
2024-05-23 17:12:04,43.3153583333,-1.90448,6.345,64.80426654327368,80.57109534194672
2024-05-23 17:12:06,43.315344,-1.9044605,4.826,65.03422749633616,80.81038096454765
2024-05-23 17:12:07,43.3153363333,-1.9044451667,3.184,64.57751290982469,79.57161704268283
2024-05-23 17:12:08,43.3153271667,-1.9044356667,3.28,63.61506965000929,78.60395267614521
2024-05-23 17:12:09,43.3153048333,-1.9044373333,4.748,62.12871288040997,76.82291173363797
2024-05-23 17:12:10,43.3152713333,-1.9044325,2.359,60.300763711223965,74.7747700919757
2024-05-23 17:12:11,43.3152665,-1.9044323333,1.458,58.25115080745239,74.04738882488643
2024-05-23 17:12:13,43.3152666667,-1.9044265,0.893,58.28376290694407,73.45067815373758
2024-05-23 17:12:14,43.3152613333,-1.9044278333,1.369,64.61471685981104,76.25280866655277
2024-05-23 17:12:15,43.3152565,-1.9044318333,1.847,58.658087447932424,72.62932749982372
2024-05-23 17:12:16,43.3152528333,-1.9044355,2.067,59.43121841657019,72.72147026177583
2024-05-23 17:12:17,43.3152493333,-1.9044391667,3.845,60.17178385642623,73.566157094914
2024-05-23 17:12:19,43.3152355,-1.9044621667,3.996,60.89387370671453,71.8766810699476
2024-05-23 17:12:20,43.315233,-1.9044691667,2.503,61.413840355594644,73.77501647779087
2024-05-23 17:12:21,43.3152278333,-1.9044703333,2.795,66.37040491877949,83.72675134103807
2024-05-23 17:12:22,43.315223,-1.904472,2.804,68.95375038530904,83.82488194084414
2024-05-23 17:12:23,43.3152146667,-1.904476,3.509,67.82657487685131,83.00470227965451
2024-05-23 17:12:25,43.3152006667,-1.9044928333,3.507,67.44809278646561,83.92412884391105
2024-05-23 17:12:26,43.3151928333,-1.9045045,4.32,67.74137618675796,83.8374915945844
2024-05-23 17:12:27,43.3151868333,-1.9045158333,4.478,68.07473891995468,84.09305772214947
2024-05-23 17:12:28,43.3151808333,-1.904526,3.999,68.1906547968997,84.30871573299045
2024-05-23 17:12:29,43.3151748333,-1.9045308333,3.248,68.25888703620237,84.42212576593109
2024-05-23 17:12:31,43.3151681667,-1.904537,3.978,68.11558883464193,84.59131392295994
2024-05-23 17:12:32,43.3151696667,-1.9045265,3.233,67.74615281470041,83.87338076160466
2024-05-23 17:12:33,43.3151763333,-1.9045121667,2.194,68.9597418014865,82.25473941122517
2024-05-23 17:12:34,43.3151825,-1.9044958333,1.843,69.17557784910923,84.07546249464515
2024-05-23 17:12:35,43.3151848333,-1.9044853333,2.16,68.82673024324761,85.60733625988769
2024-05-23 17:12:36,43.3151875,-1.9044801667,1.092,68.59434326319368,85.83108716830284
2024-05-23 17:12:38,43.3151873333,-1.904476,0.902,68.55184069889805,85.22648363775447
2024-05-23 17:12:39,43.315187,-1.9044723333,0.996,68.61483549509613,85.61970311011835
2024-05-23 17:12:40,43.3151861667,-1.9044723333,1.254,68.85912277931861,84.85962907299042
2024-05-23 17:12:41,43.3151846667,-1.9044746667,1.432,70.14808986965812,85.09045254115476
2024-05-23 17:12:42,43.3151878333,-1.9044628333,0.497,69.5535883694973,86.20681156663085
2024-05-23 17:12:43,43.3151918333,-1.9044616667,0.831,69.50388129466985,86.15282686534924
2024-05-23 17:12:45,43.3151926667,-1.9044685,1.576,70.71681767638547,87.52179992668253
2024-05-23 17:12:46,43.3151933333,-1.9044695,1.37,71.91166926365358,88.5995720497134
2024-05-23 17:12:47,43.3151886667,-1.9044766667,1.448,72.41352636266998,88.17684466086163
2024-05-23 17:12:48,43.3151851667,-1.9044798333,1.189,72.43986143380462,88.65707118103327
2024-05-23 17:12:49,43.3151773333,-1.9044971667,1.454,72.21552230894414,88.89709973663653
2024-05-23 17:12:50,43.315178,-1.9044981667,1.524,69.77619847026973,84.88195138100834
2024-05-23 17:12:52,43.3151773333,-1.904504,2.043,68.73782302593443,82.47136590181306
2024-05-23 17:12:53,43.315178,-1.9045065,1.835,68.44370384517373,82.6589026971833
2024-05-23 17:12:54,43.3151778333,-1.9045073333,1.593,68.52848666841928,82.62166684709976
2024-05-23 17:12:55,43.3151816667,-1.9045046667,1.304,68.20838506648562,83.08882699518963
2024-05-23 17:12:56,43.3151826667,-1.9045013333,0.893,68.56918818111386,83.25322190994912
2024-05-23 17:12:58,43.3151783333,-1.9045085,0.637,68.30676595828558,82.53935129231101
2024-05-23 17:12:59,43.3151796667,-1.9045043333,0.407,68.58713676132632,82.9867545188917
2024-05-23 17:13:00,43.3151855,-1.9044975,0.265,68.01581895276892,83.39043391963648
2024-05-23 17:13:01,43.3151913333,-1.9044921667,0.911,67.51541371056567,82.71181208925842
2024-05-23 17:13:02,43.3151985,-1.9044891667,3.252,68.02363486735581,83.01190948387989
2024-05-23 17:13:04,43.3152273333,-1.9044913333,4.868,75.37568721729977,89.1855370980341
2024-05-23 17:13:05,43.3152445,-1.9045028333,6.096,74.37594375371039,89.20071416599129
2024-05-23 17:13:06,43.3152611667,-1.9045148333,7.352,74.67326356975758,88.92053659739798
2024-05-23 17:13:07,43.3152818333,-1.904528,8.414,74.83745253971092,90.75804789915921
2024-05-23 17:13:08,43.3153018333,-1.9045395,8.476,74.4779236428507,89.21631865169618
2024-05-23 17:13:10,43.3153561667,-1.9045646667,10.689,74.24638082580064,89.38320068085207
2024-05-23 17:13:11,43.3153761667,-1.9045826667,9.45,73.52712163419694,88.31894351752689
2024-05-23 17:13:12,43.3153976667,-1.9046008333,9.851,74.11999211684463,89.37669017280408
2024-05-23 17:13:13,43.3154215,-1.9046151667,9.983,73.65328195590828,88.1308250014841
2024-05-23 17:13:14,43.315443,-1.9046301667,9.604,73.43731736758728,86.32254702973319
2024-05-23 17:13:15,43.3154908333,-1.9046545,8.895,71.95844446824779,87.64697754488151
2024-05-23 17:13:16,43.3155161667,-1.9046546667,8.21,69.82270224782064,86.86245612486206
2024-05-23 17:13:18,43.3155415,-1.9046451667,6.602,68.69292066128862,84.42462599580088
2024-05-23 17:13:19,43.315554,-1.9046416667,5.036,70.27838286683424,83.77216617877215
2024-05-23 17:13:20,43.3155691667,-1.9046318333,5.214,71.1879194107129,84.466203270643
2024-05-23 17:13:21,43.315584,-1.9046171667,5.25,71.38262452030075,84.8738457155983
2024-05-23 17:13:22,43.3155976667,-1.9046,3.859,70.7807275566814,83.89859919411258
