index,Value,Tag
2022-09-02 08:15:00,58.47,BI-RUI-C009LD
2022-09-02 08:30:00,54.39,BI-RUI-C009LD
2022-09-02 08:45:00,54.82,BI-RUI-C009LD
2022-09-02 09:00:00,56.32,BI-RUI-C009LD
2022-09-02 09:15:00,58.55,BI-RUI-C009LD
2022-09-02 09:30:00,57.72,BI-RUI-C009LD
2022-09-02 09:45:00,60.75,BI-RUI-C009LD
2022-09-02 10:00:00,58.41,BI-RUI-C009LD
2022-09-02 10:15:00,62.27,BI-RUI-C009LD
2022-09-02 10:30:00,64.71,BI-RUI-C009LD
2022-09-02 10:45:00,65.64,BI-RUI-C009LD
2022-09-02 11:00:00,65.01,BI-RUI-C009LD
2022-09-02 11:15:00,59.85,BI-RUI-C009LD
2022-09-02 11:30:00,59.52,BI-RUI-C009LD
2022-09-02 11:45:00,61.57,BI-RUI-C009LD
2022-09-02 12:00:00,57.94,BI-RUI-C009LD
2022-09-02 12:15:00,66.09,BI-RUI-C009LD
2022-09-02 12:30:00,58.76,BI-RUI-C009LD
2022-09-02 12:45:00,62.67,BI-RUI-C009LD
2022-09-02 13:00:00,60.96,BI-RUI-C009LD
2022-09-02 13:15:00,59.75,BI-RUI-C009LD
2022-09-02 13:30:00,60.67,BI-RUI-C009LD
2022-09-02 13:45:00,60.67,BI-RUI-C009LD
2022-09-02 14:00:00,64.81,BI-RUI-C009LD
2022-09-02 14:15:00,64.6,BI-RUI-C009LD
2022-09-02 14:30:00,62.23,BI-RUI-C009LD
2022-09-02 14:45:00,62.28,BI-RUI-C009LD
2022-09-02 15:00:00,66.04,BI-RUI-C009LD
2022-09-02 15:15:00,70.7,BI-RUI-C009LD
2022-09-02 15:30:00,72.9,BI-RUI-C009LD
2022-09-02 15:45:00,63.04,BI-RUI-C009LD
2022-09-02 16:00:00,64.1,BI-RUI-C009LD
2022-09-02 16:15:00,62.97,BI-RUI-C009LD
2022-09-02 16:30:00,56.83,BI-RUI-C009LD
2022-09-02 16:45:00,58.21,BI-RUI-C009LD
2022-09-02 17:00:00,60.22,BI-RUI-C009LD
2022-09-02 17:15:00,60.93,BI-RUI-C009LD
2022-09-02 17:30:00,59.35,BI-RUI-C009LD
2022-09-02 17:45:00,57.72,BI-RUI-C009LD
2022-09-02 18:00:00,58.31,BI-RUI-C009LD
2022-09-02 18:15:00,58.19,BI-RUI-C009LD
2022-09-02 18:30:00,64.36,BI-RUI-C009LD
2022-09-02 18:45:00,65.77,BI-RUI-C009LD
2022-09-02 19:00:00,63.52,BI-RUI-C009LD
2022-09-02 19:15:00,70.12,BI-RUI-C009LD
2022-09-02 19:30:00,77.24,BI-RUI-C009LD
2022-09-02 19:45:00,77.56,BI-RUI-C009LD
2022-09-02 20:00:00,72.08,BI-RUI-C009LD
2022-09-02 20:15:00,72.72,BI-RUI-C009LD
2022-09-02 20:30:00,74.33,BI-RUI-C009LD
2022-09-02 20:45:00,76.72,BI-RUI-C009LD
2022-09-02 21:00:00,76.48,BI-RUI-C009LD
2022-09-02 21:15:00,77.6,BI-RUI-C009LD
2022-09-02 21:30:00,76.37,BI-RUI-C009LD
2022-09-02 21:45:00,76.81,BI-RUI-C009LD
2022-09-02 22:00:00,77.09,BI-RUI-C009LD
2022-09-02 22:15:00,77.16,BI-RUI-C009LD
2022-09-02 22:30:00,75.81,BI-RUI-C009LD
2022-09-02 22:45:00,75.22,BI-RUI-C009LD
2022-09-02 23:00:00,74.86,BI-RUI-C009LD
2022-09-02 23:15:00,75.62,BI-RUI-C009LD
2022-09-02 23:30:00,76.39,BI-RUI-C009LD
2022-09-02 23:45:00,75.43,BI-RUI-C009LD
2022-09-03 00:00:00,75.28,BI-RUI-C009LD
2022-09-03 00:15:00,75.87,BI-RUI-C009LD
2022-09-03 00:30:00,73.58,BI-RUI-C009LD
